"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2020","2,108.33","2,124.38","2,134.38","2,108.26","708.60M","0.71%"
"Jun 29, 2020","2,093.48","2,105.54","2,120.50","2,087.84","643.16M","-1.93%"
"Jun 26, 2020","2,134.65","2,137.47","2,142.04","2,115.25","761.04M","1.05%"
"Jun 25, 2020","2,112.37","2,130.45","2,143.33","2,112.37","1.02B","-2.27%"
"Jun 24, 2020","2,161.51","2,145.93","2,171.86","2,143.91","913.90M","1.42%"
"Jun 23, 2020","2,131.24","2,149.13","2,158.15","2,110.51","917.57M","0.21%"
"Jun 22, 2020","2,126.73","2,126.38","2,142.88","2,122.10","789.37M","-0.68%"
"Jun 19, 2020","2,141.32","2,153.09","2,153.57","2,108.91","1.08B","0.37%"
"Jun 18, 2020","2,133.48","2,134.35","2,145.13","2,120.29","767.18M","-0.35%"
"Jun 17, 2020","2,141.05","2,133.18","2,154.37","2,105.26","927.52M","0.14%"
"Jun 16, 2020","2,138.05","2,091.09","2,138.08","2,079.02","973.64M","5.28%"
"Jun 15, 2020","2,030.82","2,114.41","2,129.67","2,030.82","1.07B","-4.76%"
"Jun 12, 2020","2,132.30","2,088.24","2,137.12","2,084.63","689.90M","-2.04%"
"Jun 11, 2020","2,176.78","2,184.36","2,200.72","2,148.51","827.38M","-0.86%"
"Jun 10, 2020","2,195.69","2,187.91","2,200.68","2,178.12","706.29M","0.31%"
"Jun 09, 2020","2,188.92","2,206.23","2,212.17","2,166.01","817.08M","0.21%"
"Jun 08, 2020","2,184.29","2,215.60","2,217.21","2,174.96","854.04M","0.11%"
"Jun 05, 2020","2,181.87","2,151.17","2,187.25","2,138.18","854.59M","1.43%"
"Jun 04, 2020","2,151.18","2,181.64","2,191.00","2,139.68","1.39B","0.19%"
"Jun 03, 2020","2,147.00","2,108.55","2,156.55","2,107.69","1.15B","2.87%"
"Jun 02, 2020","2,087.19","2,061.45","2,089.43","2,059.14","1.00B","1.07%"
"Jun 01, 2020","2,065.08","2,037.04","2,065.38","2,035.63","997.35M","1.75%"
"May 29, 2020","2,029.60","2,018.37","2,038.89","2,006.62","1.09B","0.05%"
"May 28, 2020","2,028.54","2,047.08","2,054.52","2,003.75","1.17B","-0.13%"
"May 27, 2020","2,031.20","2,027.90","2,043.44","2,019.82","1.18B","0.07%"
"May 26, 2020","2,029.78","2,001.00","2,029.89","1,997.94","1.02B","1.76%"
"May 25, 2020","1,994.60","1,980.51","1,994.90","1,967.84","641.46M","1.24%"
"May 22, 2020","1,970.13","2,001.60","2,002.65","1,961.40","847.47M","-1.41%"
"May 21, 2020","1,998.31","2,003.20","2,004.95","1,993.00","601.20M","0.44%"
"May 20, 2020","1,989.64","1,972.12","1,992.20","1,972.12","699.45M","0.46%"
"May 19, 2020","1,980.61","1,977.47","1,983.77","1,968.59","773.41M","2.25%"
